00400000 014B4820
00400004 21490010
00400008 25490010
0040000C 014B4821
00400010 014B4824
00400014 31490010
00400018 112A0012
0040001C 112A0012
00400028 152A0012
0040002C 152A0012
00400038 08000008
00400044 0C000008
00400050 01200008
0040005C 91490000
00400060 C1490000
00400064 3C090012
00400068 8D490000
0040006C 014B4827
00400070 014B4825
00400074 3549000F
00400078 014B482A
0040007C 41404800
00400080 2D49000F
00400084 014B482B
00400088 000A4840
0040008C 000A4842
00400090 A1490000
00400094 E1490000
00400098 A5490000
0040009C AD490000
004000A0 014B4822
004000A4 014B4823
004000A8 012A001A
004000AC 012A001B
004000B0 C5490000
004000B4 D5490000
004000B8 00004810
004000BC 00004812
004000C0 29495000
004000C4 012A0018
004000C8 012A0019
004000CC 000A4843
004000D0 E5490000
004000D4 F5490000
004000D8 95490000
