Episodes, Average Reward
100,-1850
200,-1769.86
300,-1812.32
400,-1850
500,-1850
600,-1790.76
700,-1691.72
800,-1850
900,-1850
1000,-1641.92
1100,-1402.82
1200,-1850
1300,-1850
1400,-1547.38
1500,-733.86
1600,-1693.86
1700,-1471.26
1800,-1556.22
1900,-1739.74
2000,-758.1
2100,-380.1
2200,-304.06
2300,-390.24
2400,-1740.34
2500,-895.54
2600,-273.2
2700,-359
2800,-112.66
2900,-68.38
3000,-90.24
3100,-73.94
3200,-52.6
3300,-52.28
3400,-65.5
3500,-66.48
3600,-73.18
3700,-64.36
3800,-52.32
3900,-64.42
4000,-53.42
4100,-51.88
4200,-70.22
4300,-68.28
4400,-64.9
4500,-65.82
4600,-69.38
4700,-52.36
4800,-62.3
4900,-63.4
5000,-52.52
5100,-64.4
5200,-65.54
5300,-97.52
5400,-63.64
5500,-67.66
5600,-68.64
5700,-64.46
5800,-63.6
5900,-62.28
6000,-64.3
6100,-66.86
6200,-65.68
6300,-68
6400,-64.36
6500,-63.26
6600,-65.68
6700,-65.5
6800,-64.06
6900,-65.64
7000,-52.08
7100,-52.22
7200,-63.66
7300,-63.48
7400,-66.38
7500,-63.96
7600,-64.02
7700,-68.2
7800,-63.9
7900,-61.24
8000,-52.46
8100,-65.42
8200,-63.28
8300,-62.3
8400,-53.04
8500,-66.78
8600,-63.28
8700,-66.9
8800,-60.28
8900,-60.36
9000,-61.78
9100,-66.36
9200,-65.14
9300,-65.42
9400,-67.2
9500,-68.44
9600,-66.28
9700,-66.98
9800,-65.26
9900,-65.62
10000,-68.02
