Episodes, Average Reward
100, -1850.0
200, -1748.38
300, -1144.34
400, -1625.96
500, -1771.7
600, -1820.0
700, -1585.2
800, -1797.74
900, -1775.64
1000, -1532.2
1100, -1736.64
1200, -1506.46
1300, -824.22
1400, -1350.18
1500, -1155.12
1600, -1459.32
1700, -1060.32
1800, -1367.0
1900, -482.72
2000, -482.18
2100, -685.62
2200, -535.0
2300, -661.66
2400, -1379.88
2500, -526.28
2600, -162.3
2700, -256.34
2800, -375.08
2900, -117.22
3000, -305.24
3100, -190.38
3200, -379.48
3300, -903.98
3400, -66.36
3500, -169.6
3600, -155.88
3700, -80.84
3800, -377.44
3900, -171.5
4000, -54.78
4100, -71.46
4200, -66.04
4300, -67.18
4400, -70.9
4500, -64.0
4600, -65.98
4700, -66.44
4800, -67.24
4900, -79.78
5000, -67.54
5100, -68.12
5200, -79.04
5300, -112.82
5400, -69.9
5500, -71.48
5600, -115.06
5700, -71.02
5800, -104.76
5900, -98.96
6000, -68.56
6100, -61.92
6200, -64.94
6300, -53.84
6400, -66.34
6500, -65.98
6600, -62.14
6700, -65.8
6800, -68.14
6900, -68.34
7000, -55.42
7100, -64.92
7200, -65.92
7300, -71.48
7400, -71.1
7500, -70.24
7600, -97.1
7700, -61.46
7800, -65.66
7900, -67.34
8000, -62.46
8100, -71.2
8200, -66.88
8300, -70.4
8400, -102.46
8500, -63.3
8600, -62.78
8700, -69.96
8800, -67.9
8900, -66.56
9000, -68.84
9100, -93.96
9200, -71.48
9300, -68.34
9400, -64.86
9500, -68.16
9600, -64.56
9700, -67.76
9800, -69.92
9900, -65.66
10000, -70.1
