Episodes, Average Reward
100, -66.54
200, -64.1
300, -64.66
400, -1850.0
500, -64.9
600, -64.06
700, -67.62
800, -68.42
900, -67.28
1000, -66.72
1100, -66.9
1200, -68.32
1300, -65.2
1400, -62.72
1500, -66.22
1600, -64.28
1700, -66.0
1800, -66.94
1900, -67.22
2000, -62.08
2100, -62.98
2200, -66.2
2300, -69.62
2400, -69.46
2500, -70.68
2600, -65.86
2700, -64.24
2800, -67.02
2900, -68.08
3000, -67.04
3100, -64.4
3200, -63.18
3300, -68.54
3400, -69.26
3500, -68.2
3600, -63.68
3700, -65.66
3800, -65.84
3900, -67.44
4000, -68.26
4100, -64.16
4200, -66.98
4300, -68.12
4400, -67.8
4500, -68.58
4600, -66.32
4700, -64.04
4800, -64.7
4900, -65.08
5000, -67.0
5100, -66.92
5200, -66.04
5300, -66.04
5400, -64.24
5500, -62.76
5600, -67.38
5700, -63.58
5800, -66.9
5900, -65.46
6000, -69.28
6100, -65.72
6200, -70.28
6300, -65.72
6400, -67.1
6500, -69.64
6600, -62.26
6700, -61.16
6800, -68.96
6900, -65.28
7000, -66.98
7100, -69.26
7200, -66.18
7300, -65.86
7400, -66.42
7500, -66.94
7600, -69.88
7700, -64.36
7800, -64.34
7900, -65.56
8000, -68.0
8100, -65.78
8200, -65.22
8300, -68.16
8400, -64.66
8500, -64.44
8600, -66.34
8700, -67.18
8800, -65.54
8900, -70.18
9000, -68.94
9100, -68.44
9200, -66.38
9300, -66.48
9400, -67.58
9500, -62.38
9600, -65.96
9700, -67.7
9800, -62.96
9900, -64.12
10000, -66.88
