Episodes, Average Reward
100,-65
200,-1850
300,-65.7
400,-66.3
500,-70.46
600,-68.38
700,-64.64
800,-63.42
900,-65.66
1000,-66.38
1100,-67.32
1200,-62.04
1300,-66.58
1400,-64.96
1500,-64.66
1600,-65.56
1700,-64.78
1800,-64.16
1900,-66.86
2000,-65.04
2100,-66.38
2200,-67.14
2300,-68.46
2400,-66.52
2500,-65.24
2600,-69.6
2700,-65.42
2800,-65.74
2900,-64.96
3000,-70.56
3100,-62.34
3200,-63.98
3300,-68.06
3400,-64
3500,-68.06
3600,-66.02
3700,-68.36
3800,-66.6
3900,-67.16
4000,-65.12
4100,-64.88
4200,-65.54
4300,-69.2
4400,-64.9
4500,-65.68
4600,-64.6
4700,-68.94
4800,-72.76
4900,-64.9
5000,-68.3
5100,-66.74
5200,-65.6
5300,-63.42
5400,-65.28
5500,-68.7
5600,-69.06
5700,-70.54
5800,-62.56
5900,-66.46
6000,-64.04
6100,-66.06
6200,-65.28
6300,-69.18
6400,-66.48
6500,-67.56
6600,-67.14
6700,-65.52
6800,-70.12
6900,-70.06
7000,-65.96
7100,-67.06
7200,-70.28
7300,-64.78
7400,-70.14
7500,-66.88
7600,-65.5
7700,-68.02
7800,-65.12
7900,-61.22
8000,-65.92
8100,-66.8
8200,-65.7
8300,-67.5
8400,-63.3
8500,-63.9
8600,-67.68
8700,-66.7
8800,-64.94
8900,-67.38
9000,-64.62
9100,-68.3
9200,-68.34
9300,-64.9
9400,-65.08
9500,-67.34
9600,-62.06
9700,-69.58
9800,-64
9900,-66.64
10000,-65.06
